Wavelength / nm,Cyclohexane,p-Xylene,Toluene,Diisopropyl ether,Chloroform,Diethyl ether,Tetrahydrofuran
498.5,0.10273,0.1058,0.10643,0.08745,0.09172,0.101,0.10559
499,0.10094,0.10413,0.1052,0.08667,0.09062,0.10013,0.10382
499.5,0.09921,0.10265,0.10379,0.08566,0.08907,0.09929,0.10194
500,0.09785,0.10117,0.10245,0.08452,0.08739,0.09825,0.10017
500.5,0.09674,0.09982,0.10103,0.08329,0.08604,0.09741,0.09847
501,0.09571,0.09856,0.09969,0.08221,0.08481,0.09654,0.0968
501.5,0.09453,0.09734,0.09846,0.08098,0.08378,0.09545,0.09513
502,0.09353,0.09609,0.09683,0.07981,0.083,0.09455,0.09366
502.5,0.09297,0.09454,0.09509,0.07854,0.082,0.09309,0.09257
503,0.0925,0.09293,0.09382,0.07753,0.08068,0.09138,0.09155
503.5,0.09183,0.09136,0.09277,0.07688,0.07909,0.08992,0.09036
504,0.0908,0.09013,0.09179,0.07619,0.07738,0.08855,0.08869
504.5,0.0895,0.08885,0.09074,0.07564,0.07586,0.08751,0.08692
505,0.08847,0.08743,0.08911,0.0745,0.07506,0.0867,0.08562
505.5,0.08789,0.08557,0.08708,0.07297,0.07473,0.08619,0.08463
506,0.08756,0.0838,0.08527,0.07203,0.07428,0.08577,0.08405
506.5,0.08712,0.08238,0.084,0.07131,0.07364,0.08543,0.08317
507,0.08645,0.08129,0.08331,0.07112,0.07254,0.08498,0.08187
507.5,0.08547,0.08052,0.08288,0.07083,0.07112,0.08358,0.0802
508,0.08445,0.07949,0.08223,0.07018,0.06999,0.08181,0.07871
508.5,0.08389,0.0782,0.08107,0.0692,0.06931,0.08007,0.07761
509,0.08371,0.07678,0.07951,0.06835,0.06886,0.07912,0.0768
